;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
0;CHEMBL63786;nM;0.003;Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1;11.522878745280336;349.021459484;3;1;5.289100000000002;yes
1;CHEMBL53711;nM;0.006;CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1;11.221848749616356;343.04325754800004;5;1;3.5969000000000015;yes
2;CHEMBL35820;nM;0.006;CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC;11.221848749616356;387.05823891599994;5;1;4.933300000000004;yes
3;CHEMBL66031;nM;0.008;Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1;11.096910013008056;339.01195742000004;4;2;4.012200000000001;yes
4;CHEMBL53753;nM;0.008;CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1;11.096910013008056;329.02760748400004;5;2;3.572600000000002;yes
5;CHEMBL176582;nM;0.01;Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21;11.0;353.027607484;5;1;4.0226000000000015;yes
6;CHEMBL29197;nM;0.025;COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC;10.602059991327964;359.02693878799994;5;1;4.153100000000003;yes
7;CHEMBL174426;nM;0.025;Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21;10.602059991327964;353.02760748400004;5;1;4.022600000000002;yes
8;CHEMBL1243316;nM;0.03;C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC;10.522878745280336;477.13678081200004;6;3;4.758780000000003;yes
9;CHEMBL3613702;nM;0.037;C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1;10.431798275933003;376.029394552;4;2;4.943800000000001;yes
10;CHEMBL363815;nM;0.037;C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1;10.431798275933003;376.029394552;4;2;4.943800000000002;yes
11;CHEMBL275762;nM;0.07;O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1;10.154901959985745;397.9904222;4;2;4.996600000000002;yes
12;CHEMBL327307;nM;0.072;COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC;10.142667503568733;436.937450856;5;1;4.915600000000003;yes
14;CHEMBL53428;nM;0.09;CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1;10.045757490560677;343.04325754800004;5;1;3.5969000000000015;yes
15;CHEMBL420624;nM;0.1;Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1;10.0;314.01670845200005;4;2;3.7181000000000015;yes
16;CHEMBL55729;nM;0.1;Nc1ccc2cncnc2c1;10.0;145.063997224;3;1;1.212;yes
17;CHEMBL190094;nM;0.11;CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1;9.958607314841776;433.087243776;5;2;4.875600000000003;yes
18;CHEMBL3930620;nM;0.12;O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO;9.920818753952377;483.1585788760001;8;3;4.880300000000003;yes
19;CHEMBL193160;nM;0.12;O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1;9.920818753952377;437.97443668399995;4;2;4.155300000000002;yes
20;CHEMBL328216;nM;0.12;Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N;9.920818753952377;329.02760748400004;5;3;3.300300000000001;yes
21;CHEMBL3892310;nM;0.13;CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21;9.886056647693165;511.178645624;7;2;4.493400000000002;yes
22;CHEMBL51853;nM;0.13;Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1;9.886056647693165;315.01195742000004;5;2;3.113100000000001;yes
